YEAR,MONTH,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
1907,9.0,59.5,-135.5,"SKAGWAY, AK",USA,Probable Tsunami,5.5,33.0,0.0,Limited (<$1 million),
1922,1.0,-7.111,143.53,BISMARCK SEA,PAPUA NEW GUINEA,Probable Tsunami,6.9,33.0,,Limited (<$1 million),
1901,3.0,36.0,-120.5,"MONTEREY BAY, N. CALIFORNIA",USA,Probable Tsunami,6.7,,,,
1915,8.0,38.5,20.7,IONIAN SEA,GREECE,Probable Tsunami,6.7,14.0,3.0,Severe (~>$5 to $24 million),
1901,6.0,39.0,143.0,"IWATE, JAPAN",JAPAN,Definite Tsunami,6.0,33.0,,,
1915,11.0,18.0,119.5,W. LUZON ISLAND,PHILIPPINES,Probable Tsunami,6.4,33.0,0.5,Limited (<$1 million),
1920,8.0,-38.0,-73.5,CENTRAL CHILE,CHILE,Probable Tsunami,7.0,15.0,1.0,Moderate (~$1 to $5 million),
1917,5.0,23.2,121.6,TAIWAN,TAIWAN,Definite Tsunami,5.8,33.0,-0.5,,
1917,1.0,24.47,118.08,SOUTH CHINA SEA,CHINA,Definite Tsunami,6.5,,1.0,Limited (<$1 million),
1913,10.0,-7.0,148.0,SOLOMON SEA,PAPUA NEW GUINEA,Definite Tsunami,7.0,33.0,,,
1913,2.0,-41.8,171.5,TASMAN SEA,NEW ZEALAND,Probable Tsunami,6.8,33.0,0.5,Limited (<$1 million),
1912,6.0,40.5,142.0,SANRIKU,JAPAN,Probable Tsunami,6.6,100.0,0.0,Limited (<$1 million),
1909,3.0,34.5,141.5,OFF BOSO PENINSULA,JAPAN,Definite Tsunami,6.7,,,Limited (<$1 million),
1908,9.0,19.0,-155.0,HAWAII,USA,Definite Tsunami,6.8,33.0,0.0,,
1908,2.0,-2.0,100.0,SW. SUMATRA,INDONESIA,Probable Tsunami,7.5,130.0,1.0,,
1903,12.0,-28.5,-71.0,NORTHERN CHILE,CHILE,Probable Tsunami,6.5,,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
