Country / Territory,Disaster,Disaster Internal Displacements
Abyei Area,Flood,40002
Afghanistan,Drought,378220
Afghanistan,Earthquake,78024
Afghanistan,Flood,403899
Afghanistan,Storm,401
Albania,Earthquake,32900
Albania,Flood,11080
Algeria,Earthquake,14000
Algeria,Flood,52576
Algeria,Storm,49
Algeria,Wildfire,5031
American Samoa,Storm,4990
Angola,Drought,7400
Angola,Flood,471670
Angola,Storm,14723
Anguilla,Storm,500
Antigua and Barbuda,Storm,1445
Argentina,Earthquake,52
Argentina,Flood,146207
Argentina,Storm,9208
Argentina,Volcanic eruption,600
Argentina,Wildfire,1199
Australia,Earthquake,2
Australia,Flood,68832
Australia,Storm,61917
Australia,Wildfire,95402
Austria,Flood,1122
Azerbaijan,Earthquake,36140
Azerbaijan,Flood,32200
Bahamas,Storm,18200
Bahamas,Wildfire,230
Bangladesh,Earthquake,100
Bangladesh,Flood,5649525
Bangladesh,Storm,9796307
Barbados,Storm,570
Belgium,Flood,15764
Belgium,Wildfire,400
Belize,Flood,650
Belize,Storm,9920
Benin,Flood,533574
Benin,Wildfire,5410
Bermuda,Storm,50
Bhutan,Earthquake,20000
Bhutan,Flood,640
Bhutan,Storm,2984
Bhutan,Wildfire,56
Bolivia,Flood,420825
Bolivia,Storm,190
Bolivia,Wildfire,1113
Bosnia and Herzegovina,Flood,92459
Botswana,Flood,3670
Botswana,Storm,5030
Brazil,Drought,9843
Brazil,Earthquake,210
Brazil,Flood,2207920
Brazil,Storm,524002
Brazil,Wildfire,166
British Virgin Islands,Storm,6000
Brunei Darussalam,Flood,145
Bulgaria,Flood,5341
Burkina Faso,Flood,254530
Burkina Faso,Storm,390
Burundi,Drought,7960
Burundi,Flood,194086
Burundi,Storm,31176
Burundi,Wildfire,310
Cabo Verde,Earthquake,300
Cabo Verde,Flood,750
Cabo Verde,Storm,190
Cabo Verde,Volcanic eruption,2500
Cambodia,Flood,617390
Cambodia,Storm,205652
Cambodia,Wildfire,2600
Cameroon,Flood,199660
Canada,Flood,197909
Canada,Storm,4211
Canada,Wildfire,256025
