ID,Year,Date,state_name,magnitude,fatality_count,property_loss,yearly_tornado_count,start_lon,start_lat,end_long,end_lat,length,width,tornado_path_geom
1515,2017,2017-03-01,Missouri,0,0,25000.0,614677,-93.1067,37.6839,-93.0879,37.684,1.0,300,"LINESTRING(-93.1067 37.6839, -93.0879 37.684)"
1516,2017,2017-03-09,Missouri,1,0,25000.0,614781,-90.5408,36.8917,-90.4453,36.8406,6.35,300,"LINESTRING(-90.5408 36.8917, -90.4453 36.8406)"
1517,2017,2017-03-09,Missouri,2,0,30000.0,614780,-90.804,36.717,-90.6304,36.7075,9.64,1800,"LINESTRING(-90.804 36.717, -90.6304 36.7075)"
1518,2013,2013-10-31,Missouri,1,0,0.08,477087,-90.47,36.6338,-90.4664,36.6351,0.22,150,"LINESTRING(-90.47 36.6338, -90.4664 36.6351)"
1519,2010,2010-11-24,Missouri,1,0,0.075,1210,-93.1975,38.0309,-93.1543,38.0526,2.79,450,"LINESTRING(-93.1975 38.0309, -93.1543 38.0526)"
1520,2017,2017-05-27,Missouri,1,0,100000.0,615352,-92.7221,37.6004,-92.5811,37.5844,9.0,300,"LINESTRING(-92.7221 37.6004, -92.5811 37.5844)"
1521,2017,2017-03-01,Missouri,1,0,400000.0,614694,-89.5762,36.8203,-89.3061,36.8621,15.21,600,"LINESTRING(-89.5762 36.8203, -89.3061 36.8621)"
1522,2011,2011-05-25,Missouri,3,0,0.8,307045,-90.8492,36.8147,-90.3103,37.3494,47.41,3600,"LINESTRING(-90.8492 36.8147, -90.714475 36.948375, -90.57975 37.08205, -90.445025 37.215725, -90.3103 37.3494)"
1523,2012,2012-02-28,Missouri,2,1,0.65,364185,-93.1902,37.55,-93.05,37.6306,9.5,300,"LINESTRING(-93.1902 37.55, -93.05 37.6306)"
1524,2015,2015-05-17,Missouri,0,0,0.015,566529,-93.4336,37.6971,-93.2925,37.8019,10.57,300,"LINESTRING(-93.4336 37.6971, -93.2925 37.8019)"
1525,2015,2015-05-24,Missouri,1,0,0.4,567867,-93.7149,38.101,-93.6763,38.1672,5.03,600,"LINESTRING(-93.7149 38.101, -93.6763 38.1672)"
1526,2017,2017-03-29,Missouri,1,0,50000.0,614863,-91.443,37.7304,-91.4202,37.7596,2.5,600,"LINESTRING(-91.443 37.7304, -91.4202 37.7596)"
1527,2014,2014-04-03,Missouri,1,0,0.008,504499,-90.2004,36.8047,-90.1217,36.892,7.43,225,"LINESTRING(-90.2004 36.8047, -90.1217 36.892)"
1528,2013,2013-10-31,Missouri,1,0,0.105,477108,-89.22,36.92,-89.0847,36.9409,7.62,600,"LINESTRING(-89.22 36.92, -89.0847 36.9409)"
1529,2017,2017-03-09,Missouri,0,0,100000.0,614786,-93.1218,36.687,-93.0968,36.6727,1.9,300,"LINESTRING(-93.1218 36.687, -93.0968 36.6727)"
1530,2017,2017-03-09,Missouri,1,0,500000.0,614787,-90.2736,36.6611,-90.2243,36.6612,2.73,600,"LINESTRING(-90.2736 36.6611, -90.2243 36.6612)"
1531,2012,2012-02-29,Missouri,2,0,0.35,359708,-89.73,37.5,-89.1668,37.611,31.87,900,"LINESTRING(-89.73 37.5, -89.5892 37.52775, -89.4484 37.5555, -89.3076 37.58325, -89.1668 37.611)"
1532,2016,2016-08-26,Missouri,0,0,2000.0,614332,-94.39,39.55,-94.33,39.56,3.27,75,"LINESTRING(-94.39 39.55, -94.33 39.56)"
1533,2017,2017-04-30,Missouri,2,0,60000.0,615045,-89.58,36.7772,-89.5489,36.8302,4.04,450,"LINESTRING(-89.58 36.7772, -89.5489 36.8302)"
1534,2015,2015-04-02,Missouri,2,0,0.6,562238,-91.93,36.91,-91.7934,36.9241,7.61,1320,"LINESTRING(-91.93 36.91, -91.7934 36.9241)"
1535,2013,2013-07-26,Missouri,0,0,0.0008,464145,-93.4904,39.1893,-93.4904,39.1893,0.05,75,
1536,2014,2014-04-03,Missouri,1,0,0.002,504235,-90.2088,36.8006,-90.2004,36.8047,0.55,225,"LINESTRING(-90.2088 36.8006, -90.2004 36.8047)"
1537,2013,2013-01-29,Missouri,1,0,0.08,424854,-89.7318,37.3309,-89.6082,37.3309,6.79,300,"LINESTRING(-89.7318 37.3309, -89.6082 37.3309)"
1538,2015,2015-04-09,Missouri,0,0,0.06,566955,-89.7246,37.38,-89.6937,37.38,1.7,390,"LINESTRING(-89.7246 37.38, -89.6937 37.38)"
1539,2017,2017-02-28,Missouri,4,1,14800000.0,614663,-90.0055,37.7238,-89.0713,37.9503,53.47,3300,"LINESTRING(-90.0055 37.7238, -89.77195 37.780425, -89.5384 37.83705, -89.30485 37.893675, -89.0713 37.9503)"
1540,2015,2015-04-02,Missouri,1,0,0.015,562231,-92.3045,36.9732,-92.2897,36.9672,0.92,300,"LINESTRING(-92.3045 36.9732, -92.2897 36.9672)"
1541,2017,2017-05-19,Missouri,0,0,100000.0,615253,-93.1647,37.1726,-93.1224,37.1855,2.49,600,"LINESTRING(-93.1647 37.1726, -93.1224 37.1855)"
1542,2016,2016-04-26,Missouri,1,0,50000.0,613785,-94.6139,36.8628,-94.5996,36.866,0.82,450,"LINESTRING(-94.6139 36.8628, -94.5996 36.866)"
1543,2010,2010-04-30,Missouri,1,0,0.08,181,-92.3718,36.5821,-92.3196,36.616,3.72,1320,"LINESTRING(-92.3718 36.5821, -92.3196 36.616)"
1544,2017,2017-05-27,Missouri,0,0,40000.0,615357,-90.5013,36.7912,-90.4692,36.7839,1.85,255,"LINESTRING(-90.5013 36.7912, -90.4692 36.7839)"
1545,2017,2017-12-04,Missouri,1,0,200000.0,615887,-92.493,39.3099,-92.3171,39.3593,10.0,90,"LINESTRING(-92.493 39.3099, -92.3171 39.3593)"
1546,2011,2011-05-25,Missouri,0,0,0.003,302350,-90.0967,37.6376,-90.0918,37.6397,0.3,180,"LINESTRING(-90.0967 37.6376, -90.0918 37.6397)"
1547,2017,2017-05-27,Missouri,1,0,50000.0,615351,-92.7704,38.204,-92.7682,38.2046,0.13,150,"LINESTRING(-92.7704 38.204, -92.7682 38.2046)"
1548,2017,2017-05-19,Missouri,0,0,50000.0,615261,-94.376,36.8732,-94.3362,36.9233,4.1,900,"LINESTRING(-94.376 36.8732, -94.3362 36.9233)"
1549,2017,2017-05-19,Missouri,0,0,5000.0,615267,-93.8474,37.2173,-93.8378,37.2267,1.0,300,"LINESTRING(-93.8474 37.2173, -93.8378 37.2267)"
1550,2010,2010-12-31,Missouri,0,0,0.75,1255,-93.3498,36.616,-93.3338,36.6381,1.75,225,"LINESTRING(-93.3498 36.616, -93.3338 36.6381)"
1551,2010,2010-05-20,Missouri,0,0,0.008,409,-93.28,38.69,-93.2719,38.6914,0.45,75,"LINESTRING(-93.28 38.69, -93.2719 38.6914)"
1552,2017,2017-04-04,Missouri,1,0,15000.0,614933,-93.9877,36.5419,-93.9644,36.5656,1.5,600,"LINESTRING(-93.9877 36.5419, -93.9644 36.5656)"
1553,2010,2010-04-30,Missouri,1,0,0.75,187,-91.9653,36.9447,-91.9334,36.9751,2.74,3960,"LINESTRING(-91.9653 36.9447, -91.9334 36.9751)"
1554,2011,2011-04-25,Missouri,1,0,0.07,288694,-90.3706,37.2112,-90.2716,37.243,5.88,1500,"LINESTRING(-90.3706 37.2112, -90.2716 37.243)"
1555,2011,2011-05-25,Missouri,0,0,0.002,302355,-90.9057,36.8846,-90.9,36.89,0.49,150,"LINESTRING(-90.9057 36.8846, -90.9 36.89)"
1556,2017,2017-03-09,Missouri,1,0,50000.0,614790,-89.6209,36.671,-89.6003,36.6713,1.14,450,"LINESTRING(-89.6209 36.671, -89.6003 36.6713)"
1557,2015,2015-07-08,Missouri,1,0,0.066,586764,-89.5248,37.1717,-89.4291,37.2197,6.26,375,"LINESTRING(-89.5248 37.1717, -89.4291 37.2197)"
1558,2010,2010-11-24,Missouri,0,0,0.025,1209,-93.4178,37.9439,-93.402,37.9508,0.98,225,"LINESTRING(-93.4178 37.9439, -93.402 37.9508)"
1559,2017,2017-03-09,Missouri,2,0,270000.0,614791,-89.3918,36.6169,-89.2422,36.5466,9.66,750,"LINESTRING(-89.3918 36.6169, -89.2422 36.5466)"
1560,2013,2013-10-31,Missouri,1,0,0.07,477076,-89.9482,37.25,-89.9209,37.25,1.5,600,"LINESTRING(-89.9482 37.25, -89.9209 37.25)"
1561,2017,2017-05-19,Missouri,0,0,50000.0,615257,-91.544,36.5307,-91.5347,36.5358,0.75,900,"LINESTRING(-91.544 36.5307, -91.5347 36.5358)"
1562,2017,2017-12-04,Missouri,2,0,100000.0,615888,-91.6274,40.3779,-91.4888,40.4142,7.97,150,"LINESTRING(-91.6274 40.3779, -91.4888 40.4142)"
1563,2011,2011-05-22,Missouri,2,0,1.05,296629,-93.5013,36.8347,-93.2197,36.8074,15.7,600,"LINESTRING(-93.5013 36.8347, -93.2197 36.8074)"
1564,2017,2017-05-19,Missouri,1,0,50000.0,615265,-93.9592,37.0546,-93.8995,37.0931,4.23,900,"LINESTRING(-93.9592 37.0546, -93.8995 37.0931)"
1565,2017,2017-03-09,Missouri,0,0,20000.0,614783,-93.3,36.74,-93.2992,36.7398,0.1,225,"LINESTRING(-93.3 36.74, -93.2992 36.7398)"
1566,2017,2017-05-19,Missouri,0,0,5000.0,615256,-92.31,37.27,-92.3069,37.2726,0.25,150,"LINESTRING(-92.31 37.27, -92.3069 37.2726)"
1567,2015,2015-04-09,Missouri,0,0,0.006,566954,-89.8065,37.5251,-89.7747,37.5283,1.75,450,"LINESTRING(-89.8065 37.5251, -89.7747 37.5283)"
