Year,Entity,Number of people affected from drought,Number of people left homeless from drought,Reconstruction costs from drought,Insured damages against drought,Total economic damages from drought,Number of people left homeless from earthquakes,Number of total people affected by earthquakes,Reconstruction costs from earthquakes,Insured damages against earthquakes,Total economic damages from earthquakes,Number of people affected by volcanic activity,Number of people left homeless from volcanic activity,Number of total people affected by volcanic activity,Reconstruction costs from volcanic activity,Insured damages against volcanic activity,Total economic damages from volcanic activity,Number of people left homeless from floods,Number of total people affected by floods,Reconstruction costs from floods,Insured damages against floods,Total economic damages from floods,"Number of people affected by mass movements per 100,000",Number of people left homeless from storms,Number of total people affected by storms,Reconstruction costs from storms,Insured damages against storms,Total economic damages from storms,Number of people left homeless from landslides,Number of total people affected by landslides,Reconstruction costs from landslides,Insured damages against landslides,Total economic damages from landslides,Number of people left homeless from wildfires,Number of total people affected by wildfires,Reconstruction costs from wildfires,Insured damages against wildfires,Total economic damages from wildfires,Total economic damages from disasters as a share of GDP,Total economic damages from drought as a share of GDP,Total economic damages from earthquakes as a share of GDP,Total economic damages from extreme temperatures as a share of GDP,Total economic damages from floods as a share of GDP,Total economic damages from landslides as a share of GDP,Total economic damages from storms as a share of GDP,Total economic damages from volcanic activity as a share of GDP
1950,Afghanistan,0,0,,,,0,200,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Afghanistan,4800,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001419558,0.001419558,0,0,0,0,0,0
1970,Afghanistan,0,0,0,0,0,0,9001.5,0,0,0,0,0,0,0,0,0,750,60168.4,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157575752,0,0,0,0.157575752,0,0,0
1980,Afghanistan,0,0,0,0,0,658,7253.8,0,0,900,0,0,0,0,0,0,0,19100,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Afghanistan,0,0,0,0,0,7702.5,35229.3,0,0,2001,0,0,0,0,0,0,1765,18230.5,0,20,6400,0,0,0,0,0,0,111,117.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Afghanistan,476000,0,0,0,5,1569.5,10794.7,0,0,5,0,0,0,0,0,0,2340,15904.2,0,0,2000,0,0,2265.6,0,0,500,0,30043.2,0,0,0,0,0,0,0,0,0.024211525,0,0.0000805,0,0.01607835,0,0.008052648,0
2010,Afghanistan,1525000,0,0,0,14200,3627.5,9797,0,0,0,0,0,0,0,0,0,3422,41596.6,0,0,300,0,0,906,0,0,0,741,3792.4,0,0,300,0,0,0,0,0,0.082727539,0.079756046,0,0,0.001464494,0.001506999,0,0
1900,Africa,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Africa,3200,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Africa,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Africa,0,0,,,,750,763,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Africa,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Africa,0,0,,,,12925,13427.8,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Africa,963348.3,0,0,0,19570,1940.5,9293.6,0,0,15302,0,0,0,0,0,0,2580,86904.1,0,0,41842,0,1650,14157.9,0,0,1330,33.6,143.6,0,0,0,0,0,0,0,0,0.150796798,0.030305845,0.044271497,0,0.07392516,0,0.002294295,0
