YEAR,MONTH,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
-330,,40,25,"E. SPORADES ISLANDS, AEGEAN ISLANDS",GREECE,Very Doubtful Tsunami,7,,,,
1764,2,51.45,-2.583,"BRISTOL, ENGLAND",UK,Very Doubtful Tsunami,,,,,
859,,36.08,36.25,SAMANDAGI,TURKEY,Questionable Tsunami,,,3,,
1580,1,40,128,YELLOW SEA,NORTH KOREA,Very Doubtful Tsunami,,,1,,
-1300,,39.96,26.24,"IONIAN COASTS, TROAD",TURKEY,Questionable Tsunami,6,,5,,
-47,9,37.5,119.5,"LAIZHOU BAY, BOHAI SEA",CHINA,Very Doubtful Tsunami,,,,,
1556,10,37,126,YELLOW SEA,SOUTH KOREA,Very Doubtful Tsunami,,,0.5,,
1641,12,38.4,-28.1,AZORES,PORTUGAL,Very Doubtful Tsunami,,,,,
1747,3,33.1,139.8,"IZU PENINSULA, HACHIJO ISLAND",JAPAN,Questionable Tsunami,,,0.5,Limited (<$1 million),
1606,1,31.9,140,CHICHIJIMA-TOKAIDO,JAPAN,Definite Tsunami,,,,,
1763,9,50.6,-2.466,"WEYMOUTH, ENGLAND",UK,Very Doubtful Tsunami,,,,,
1704,,33.6,136,"TAIJI, KII",JAPAN,Questionable Tsunami,,,1,Limited (<$1 million),
1761,8,49.465,-2.585,"GUERNSEY, ENGLISH CHANNEL",UK,Very Doubtful Tsunami,,,,,
1762,5,60.383,5.333,NORWAY: BERGEN,NORWAY,Very Doubtful Tsunami,,,,,
1653,,38.4,-27.1,AZORES,PORTUGAL,Very Doubtful Tsunami,,,,,
1668,11,38.5,-28.1,AZORES,PORTUGAL,Very Doubtful Tsunami,,,,,
1732,,33.1,139.767,"HACHIJO ISLAND, JAPAN",JAPAN,Very Doubtful Tsunami,,,,,
1099,11,50.116,-5.483,"WEST CORNWALL, ENGLAND",UK,Very Doubtful Tsunami,,,,,
975,10,41.04,28.98,"MARMARA SEA, STRAIT OF BOSPORUS",TURKEY,Questionable Tsunami,,,3,,
1407,8,38,125.7,"HAEJU COAST, YELLOW SEA",NORTH KOREA,Very Doubtful Tsunami,,,0,,
1693,2,64,-19.683,MOUNT HEKLA,ICELAND,Very Doubtful Tsunami,,,,,
1755,11,54.68,-1.21,"RIVER TEES, ENGLAND",UK,Very Doubtful Tsunami,,,,,
1706,5,28.271,-16.641,"TENERIFE, CANARY ISLANDS",SPAIN,Probable Tsunami,,,,Severe (~>$5 to $24 million),
1681,6,37.5,129.5,SEA OF JAPAN,SOUTH KOREA,Very Doubtful Tsunami,,,,,
1650,9,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Definite Tsunami,6.3,,6,,Many (~101 to 1000 people)
792,4,45.5,11,GULF OF VENICE,ITALY,Very Doubtful Tsunami,,,3,,
1676,,38.733,-27.066,AZORES,PORTUGAL,Very Doubtful Tsunami,,,1,,
1704,1,34.8,138.6,SURUGA,JAPAN,Questionable Tsunami,,,,,
1519,9,36.3,126,"CHUNGCHONG PROVINCE, YELLOW SEA",SOUTH KOREA,Very Doubtful Tsunami,,,0,,
1434,8,37.5,126,"INCHON, CHEMULPO BAY, YELLOW SEA",SOUTH KOREA,Very Doubtful Tsunami,,,0.5,Limited (<$1 million),
1609,1,51.5,0.466,ENGLAND,UK,Very Doubtful Tsunami,,,,,
1562,7,32.5,130.6,W. KYUSHU ISLAND,JAPAN,Very Doubtful Tsunami,,,,,
1762,9,51.5,0.1,"THE THAMES, ENGLAND",UK,Very Doubtful Tsunami,,,,,
46,,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Definite Tsunami,6.2,,3,,
1767,11,51.5,-0.08,"LONDON, ENGLAND",UK,Very Doubtful Tsunami,,,,,
1756,2,51.208,-4.122,"ILFRACOMBE, ENGLAND",UK,Questionable Tsunami,,,,,
1636,7,35.1,129.05,E. CHINA SEA-S.JAPAN,EAST CHINA SEA,Very Doubtful Tsunami,,,0,,
1732,11,39.5,20,ISLAND OF KERKYRA (CORFU),GREECE,Questionable Tsunami,,,2,,
1726,,10.633,-64.3,PENINSULA DE ARAYA,VENEZUELA,Questionable Tsunami,,,,,
551,4,38.4,22.3,ETOLIA,GREECE,Definite Tsunami,7.1,,4,,
315,,31.7,35.5,DEAD SEA,DEAD SEA,Very Doubtful Tsunami,,,3,,
1747,,13.6,123.2,SOUTHEASTERN LUZON ISLAND,PHILIPPINES,Very Doubtful Tsunami,,,,,
1742,3,-36.8,-73,CENTRAL CHILE,CHILE,Very Doubtful Tsunami,,,,,
-1365,,35.683,35.8,SYRIAN COASTS,SYRIA,Very Doubtful Tsunami,,,6,Severe (~>$5 to $24 million),
1722,10,-6.174,106.829,"DJAKARTA (JAKARTA), JAVA",INDONESIA,Very Doubtful Tsunami,,,0,,
1770,,-5,102,SW. SUMATRA,INDONESIA,Probable Tsunami,7,,0.5,Severe (~>$5 to $24 million),
842,10,49.5,-2.5,"CHANNEL ISLANDS, ENGLAND",UK,Very Doubtful Tsunami,,,,Limited (<$1 million),
1667,11,38.4,27.1,IZMIR,TURKEY,Questionable Tsunami,6.6,,2,,
1039,2,38.4,27.3,CONSTANTINOPLE,TURKEY,Very Doubtful Tsunami,6.8,,,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1752,4,40.4,-8.7,PORTUGAL,PORTUGAL,Very Doubtful Tsunami,,,,,
1756,3,38.7,-9.1,LISBON,PORTUGAL,Very Doubtful Tsunami,,,,,
1757,7,49.92,-6.32,"SCILLY ISLANDS, ENGLAND",UK,Very Doubtful Tsunami,,,,,
1640,4,50.8,5.7,ROER VALLEY,GERMANY,Very Doubtful Tsunami,,,,,
1273,9,41.3,19.7,ALBANIAN COASTS,ALBANIA,Questionable Tsunami,6.5,,3,,
-525,,33.56,35.37,LEBANON COASTS,LEBANON,Questionable Tsunami,,,3,,
-590,,33.27,35.22,LEBANON COASTS,LEBANON,Questionable Tsunami,,,6,,
863,7,37.1,138,NW. HONSHU ISLAND,JAPAN,Definite Tsunami,7,,2,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1750,,10.7,-64.1,CUMANA,VENEZUELA,Very Doubtful Tsunami,,,,,
1545,2,34.8,139,IZU PENINSULA,JAPAN,Questionable Tsunami,,,,,
1761,3,34.5,-13,SW PORTUGAL,PORTUGAL,Probable Tsunami,8.5,,2,,
1715,12,33.3,131.7,SEIKAIDO,JAPAN,Definite Tsunami,6.6,,,,
1498,7,34.4,137.7,ENSHUNADA,JAPAN,Questionable Tsunami,6.4,,,Limited (<$1 million),
1757,8,-6,107,JAKARTA,INDONESIA,Questionable Tsunami,7.5,,-0.5,,
1659,11,-6.92,129.125,BANDA SEA,INDONESIA,Questionable Tsunami,,,0,,
1653,7,13.1,121.6,SIBUYAN SEA,PHILIPPINES,Very Doubtful Tsunami,,,1,,
1744,,17,121,N. LUZON ISLAND,PHILIPPINES,Questionable Tsunami,,,1,,
1725,3,-16.6,-72.7,S. PERU,PERU,Questionable Tsunami,,50,1.5,Moderate (~$1 to $5 million),
1642,9,35.2,140.6,"BOSO, JAPAN",JAPAN,Definite Tsunami,6.7,,1,,
1332,2,40.9,28.9,CONSTANTINOPLE,TURKEY,Questionable Tsunami,6.8,,3,,
1688,3,17.6,-76.5,PORT ROYAL,JAMAICA,Very Doubtful Tsunami,,,,,
1667,,25,125.5,"MIYAKOJIMA, JAPAN",JAPAN,Definite Tsunami,6.7,,1,,
1509,6,31.5,121.5,SOUTH CHINA SEA,CHINA,Questionable Tsunami,,,0,,
1738,7,36.8,24.4,"MILOS ISLAND, AEGEAN ISLANDS",GREECE,Very Doubtful Tsunami,6.5,,3,Moderate (~$1 to $5 million),
1732,12,35.2,140.8,"KUJUKURI BEACH, JAPAN",JAPAN,Probable Tsunami,6.5,,1,,
1732,2,16.8,-99.9,S. MEXICO,MEXICO,Probable Tsunami,,,1.5,Severe (~>$5 to $24 million),
1715,8,-17.3,-70.8,PERU,PERU,Probable Tsunami,7.5,80,,Limited (<$1 million),Few (~1 to 50 people)
1711,12,34.3,134,"SEIONAIKAI, JAPAN",JAPAN,Definite Tsunami,6.7,,1,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1710,3,-4.53,129.9,BANDA SEA,INDONESIA,Probable Tsunami,,,1.5,Severe (~>$5 to $24 million),
1708,11,-3.69,128.15,BANDA SEA,INDONESIA,Probable Tsunami,,,2,Limited (<$1 million),
1708,2,34,137,TOKAIDO,JAPAN,Definite Tsunami,7,,1,Limited (<$1 million),
1700,9,36.5,126.5,YELLOW SEA,SOUTH KOREA,Definite Tsunami,6.5,,1,,
1698,12,33.3,131.7,SEIKAIDO-NANKAIDO,JAPAN,Definite Tsunami,6.4,,,,
