Disaster,Event,Begin Date,End Date,Deaths,CPI-Adjusted Estimated Cost (In Billions),Summary
Hurricane,Hurricane Zeta ,10/28/2020,10/29/2020,6,125,"Hurricane Zeta was a category 2 hurricane that made landfall at Cocodrie, Louisiana"
Hurricane,Hurricane Delta ,10/9/2020,10/11/2020,5,125,"Hurricane Delta was a category 2 hurricane that made landfall near Creole, Louisiana"
Hurricane,Hurricane Sally ,9/15/2020,9/17/2020,5,90,"Hurricane Sally was a category 2 hurricane at landfall in Gulf Shores, Alabama. "
Hurricane,Hurricane Laura ,8/27/2020,8/28/2020,42,77.4,"Hurricane Laura was a powerful category 4 that made landfall at Cameron Parish, in southwestern Louisiana on August 27. "
Hurricane,Hurricane Isaias ,8/3/2020,8/4/2020,16,52.7,Hurricane Isaias made landfall in southeastern North Carolina as a category 1 storm. 
Flood,Louisiana Flooding ,5/15/2021,5/19/2021,5,50,Torrential rainfall from thunderstorms across coastal Texas and Louisiana caused widespread flooding 
Flood,California Flooding ,1/24/2021,1/29/2021,2,24,"California was impacted by an atmospheric river in late-January, in which more than 7 inches of rain fell "
Flood,Mississippi River Flooding ,3/15/2019,7/31/2019,4,23.2,Additional major flooding impacted many Southern Plains states significantly affecting agriculture
Flood,Arkansas River Flooding,5/20/2019,6/14/2019,5,20,"Historic flooding impacts the Arkansas River Basin with damage to homes, agriculture"
Storm,Texas Hail Storms,4/12/2021,4/15/2021,0,18,A series of hail storms impacted central Texas causing damage to many homes
Storm,Northwest Winter Storm,2/10/2021,2/19/2021,172,13.1,"Historic cold wave and winter storm impacts many northwest, central and eastern states."
Storm,Tropical Storm Eta ,11/8/2020,11/12/2020,12,12.5,Tropical Storm Eta made landfall in the Florida Keys on November 8 followed by a second landfall near Cedar Key
Storm,South Texas Hail Storms ,5/27/2020,5/27/2020,0,11.1,South Texas hail storms cause widespread impact to several cities with golf-ball sized hail damaging many homes
Tornado,Southeast Tornadoes ,3/24/2021,3/25/2021,6,10.7,"At least 41 tornadoes impact several states including Kentucky, Tennessee, Mississippi, Alabama and Georgia. "
Tornado,Southeast-Eastern Tornado,4/12/2020,4/13/2020,35,10,"Outbreak of at least 140 tornadoes from Texas to Maryland including 3 EF4s, 12 EF3s, 20 EF2s, 77 EF1s "
Tornado,Tennessee Tornadoes ,3/2/2020,3/4/2020,25,6.2,Powerful EF-3 and EF-4 tornadoes cause considerable damage across the Nashville metroplex 
Tornado,Southeast Tornadoes Jan,1/10/2020,1/12/2020,10,6.2,More than 80 tornadoes and severe storms caused damage across many southeastern states 
Tornado,Texas Tornadoes ,10/20/2019,10/20/2019,2,4.5,Numerous tornadoes caused widespread damage across northern Dallas damaging thousands of homes
