time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-13T01:20:55.624Z,-6.1237,150.4092,10.0,4.9,mb,31.0,68.0,4.582,0.88,us,us6000it72,2022-10-13T01:57:49.670Z,"New Britain region, Papua New Guinea",earthquake,6.52,1.897,0.106,28.0,reviewed,us,us
2022-10-12T23:09:22.873Z,34.5061,29.0325,31.768,4.1,mb,30.0,161.0,1.785,0.73,us,us6000it5z,2022-10-12T23:30:52.040Z,"196 km SSW of Kaş, Turkey",earthquake,7.23,5.434,0.102,26.0,reviewed,us,us
2022-10-12T22:44:54.465Z,38.834,16.6971,33.741,4.3,mb,64.0,56.0,0.348,1.06,us,us6000it5n,2022-10-12T23:03:05.040Z,"5 km ESE of Barone, Italy",earthquake,4.3,2.625,0.096,31.0,reviewed,us,us
2022-10-12T17:00:09.584Z,-8.8751,126.6963,21.77,4.5,mb,26.0,59.0,2.552,0.57,us,us6000it2v,2022-10-12T19:04:11.040Z,"36 km E of Viqueque, Timor Leste",earthquake,7.85,4.702,0.128,18.0,reviewed,us,us
2022-10-12T15:09:58.328Z,-30.7799,-71.4288,59.227,4.7,mb,45.0,58.0,0.207,0.43,us,us6000it1l,2022-10-12T16:03:33.040Z,"29 km SW of Ovalle, Chile",earthquake,5.45,5.359,0.104,30.0,reviewed,us,us
2022-10-12T13:14:05.399Z,-7.4755,128.2888,160.912,5.0,mww,120.0,55.0,3.025,0.77,us,us6000it0x,2022-10-12T13:34:00.040Z,"183 km NE of Lospalos, Timor Leste",earthquake,6.64,6.017,0.073,18.0,reviewed,us,us
2022-10-12T10:58:10.881Z,-17.727,-178.8071,566.135,4.6,mb,45.0,65.0,2.993,0.99,us,us6000it0g,2022-10-12T11:30:24.040Z,"202 km E of Levuka, Fiji",earthquake,12.82,8.572,0.091,36.0,reviewed,us,us
2022-10-12T10:12:39.371Z,-53.1167,140.1022,10.0,4.7,mb,29.0,89.0,15.992,0.9,us,us6000it00,2022-10-12T10:30:18.040Z,west of Macquarie Island,earthquake,13.65,1.909,0.106,27.0,reviewed,us,us
2022-10-12T10:02:13.815Z,36.9412,95.8138,10.0,4.8,mb,28.0,101.0,13.388,0.49,us,us6000isz0,2022-10-12T10:22:26.040Z,"northern Qinghai, China",earthquake,9.46,1.764,0.127,19.0,reviewed,us,us
2022-10-12T09:10:38.737Z,49.0415,157.9569,10.0,5.0,mww,165.0,99.0,4.011,0.53,us,us6000isyk,2022-10-12T10:02:26.040Z,east of the Kuril Islands,earthquake,8.04,1.843,0.086,13.0,reviewed,us,us
2022-10-12T08:50:05.411Z,-3.2303,136.8116,61.428,4.9,mb,22.0,196.0,4.567,0.59,us,us6000isyg,2022-10-12T09:13:10.040Z,"Papua, Indonesia",earthquake,11.67,13.835,0.155,17.0,reviewed,us,us
2022-10-12T08:34:59.142Z,56.2102,-154.1732,6.6,4.5,ml,0.0,0.0,0.0,0.54,ak,ak022d3h4vns,2022-10-12T08:57:38.040Z,"81 km S of Akhiok, Alaska",earthquake,0.0,0.9,0.0,0.0,reviewed,ak,ak
